Table A-1. Rankings of 2010 U.S. midterm candidates based on Twitter voter-candidate engagement indicators,,,,,,,,,,,,,,,
Rank,Number of followers,,,Number of @mentions,,,Number of retweets,,,Number of @mentions per tweet,,,Number of retweets per tweet,,
,Name (Party),Race,Score,Name (Party),Race,Score,Name (Party),Race,Score,Name (Party),Race,Score,Name (Party),Race,Score
1,Jerry Brown (D),G,1108707,Christine O'Donnell (R),S,9755,Christine O'Donnell (R),S,8303,Jim DeMint (R),S,142.69,Jim DeMint (R),S,77.69
2,Carly Fiorina (R),S,313797,Sharron Angle (R),S,5922,Sharron Angle (R),S,4072,Allen West (R),H,71.30,Christine O'Donnell (R),S,35.33
3,Meg Whitman (R),G,244956,Joe Miller (R),S,4475,Carly Fiorina (R),S,3821,Joe Miller (R),S,63.03,Sharron Angle (R),S,31.08
4,Jim DeMint (R),S,59688,Carly Fiorina (R),S,4147,Harry Reid (D),S,3580,Dino Rossi (R),S,56.59,Joe Miller (R),S,27.37
5,Barbara Boxer (D),S,24385,Carl Paladino (R),G,3578,Joe Sestak (D),S,2625,Rand Paul (R),S,56.16,Alan Grayson (D),H,25.56
6,Jan Brewer (R),G,15241,Meg Whitman (R),G,3055,Russ Feingold (D),S,2199,Sharron Angle (R),S,45.21,Allen West (R),H,21.25
7,Jesse Kelly (R),H,14242,Jerry Brown (D),G,2835,Jerry Brown (D),G,2125,Alan Grayson (D),H,44.56,Jan Brewer (R),G,14.05
8,John Kasich (R),G,13907,Jeff Perry (R),H,2562,Joe Miller (R),S,1943,Christine O'Donnell (R),S,41.51,Jerry Brown (D),G,12.35
9,John McCain (R),S,13850,Dino Rossi (R),S,2320,Meg Whitman (R),G,1607,Jackie Walorski (R),H,35.91,Joe Sestak (D),S,11.99
10,Russ Feingold (D),S,13439,Harry Reid (D),S,2298,Jack Conway (D),S,1570,Robert Hurt (R),H,33.70,Russ Feingold (D),S,11.95
11,Sean Duffy (R),H,12867,Barbara Boxer (D),S,2235,Bill White (D),G,1494,Barbara Boxer (D),S,30.62,Meg Whitman (R),G,11.73
12,Christine O'Donnell (R),S,12831,John Kasich (R),G,2164,Carl Paladino (R),G,1379,John Raese (R),S,24.24,Barbara Boxer (D),S,11.59
13,Linda McMahon (R),S,12809,Rand Paul (R),S,2134,Joe J. DioGuardi (R),S,1309,Bill Brady (R),G,23.94,Dino Rossi (R),S,11.05
14,Alan Grayson (D),H,12211,Alex Sink (D),G,2097,Alex Sink (D),G,1296,Kristi Noem (R),H,23.69,Carly Fiorina (R),S,10.86
15,Michele Bachmann (R),H,9481,Alan Grayson (D),H,1916,Scott McAdams (D),S,1290,Meg Whitman (R),G,22.30,Jack Conway (D),S,9.81
16,Rand Paul (R),S,9421,Jim DeMint (R),S,1855,Jan Brewer (R),G,1110,Tom Horner (3),G,20.17,Rand Paul (R),S,8.68
17,Sharron Angle (R),S,8942,Linda McMahon (R),S,1827,Alan Grayson (D),H,1099,Brad Ellsworth (D),S,18.89,Kendrick Meek (D),S,8.29
18,Nikki Haley (R),G,8905,Mark Kirk (R),S,1579,Linda McMahon (R),S,1074,Charlie Crist (I),S,18.34,Jackie Walorski (R),H,8.27
19,David Vitter (R),S,8283,Chris Coons (D),S,1566,Chris Coons (D),S,1026,Kelly Ayotte (R),S,17.11,Harry Reid (D),S,8.27
20,Roy Blunt (R),S,8028,Rick Scott (R),G,1516,Kendrick Meek (D),S,1020,Morgan Griffith (R),H,17.10,Van Tran (R),H,8.07
21,Dan Benishek (R),H,7967,Russ Feingold (D),S,1492,Jim DeMint (R),S,1010,Jerry Brown (D),G,16.48,Kristi Noem (R),H,8.00
22,Charlie Crist (I),S,7668,Allen West (R),H,1426,John Kasich (R),G,997,Jeff Perry (R),H,15.72,Pat Toomey (R),S,7.83
23,Scott Rigell (R),H,7474,Pat Toomey (R),S,1412,Mark Kirk (R),S,985,Joe Manchin (D),S,15.58,Scott McAdams (D),S,7.50
24,Kirsten Gillibrand (D),S,7123,Patty Murray (D),S,1370,Jeff Perry (R),H,976,Bill Keating (D),H,15.38,Chris Coons (D),S,6.84
25,Neil Abercrombie (D),G,7112,Scott Walker (R),G,1342,Pat Toomey (R),S,971,John Kasich (R),G,14.62,John Kasich (R),G,6.74
26,Scott Walker (R),G,6649,Kendrick Meek (D),S,1330,Jari Askins (D),G,865,Jan Brewer (R),G,14.05,Richard Blumenthal (D),S,6.73
27,Harry Reid (D),S,6635,Joe Sestak (D),S,1309,Bill Flores (R),H,854,Randy Demmer (R),H,13.75,John Raese (R),S,6.59
28,Kendrick Meek (D),S,6276,Jack Conway (D),S,1262,Barbara Boxer (D),S,846,Michael Pompeo (R),H,13.00,Kelly Ayotte (R),S,6.53
29,Pat Toomey (R),S,6195,Chet Edwards (D),H,1238,Rick Perry (R),G,754,Scott Rigell (R),H,12.63,Alex Sink (D),G,6.45
30,Joe Miller (R),S,5913,Bill Keating (D),H,1230,Rick Scott (R),G,752,Rick Scott (R),G,12.13,Tarryl Clark (D),H,6.42
31,Joe Sestak (D),S,5829,Scott Rigell (R),H,1212,Tom Tancredo (3),G,721,Carly Fiorina (R),S,11.78,Charlie Crist (I),S,6.37
32,Earl Blumenauer (D),H,5679,Jan Brewer (R),G,1110,Elaine Marshall (D),S,721,Pat Toomey (R),S,11.39,Kirsten Gillibrand (D),S,6.08
33,Richard Burr (R),S,5594,Nikki Haley (R),G,1091,Tarryl Clark (D),H,719,Tom Emmer (R),G,11.33,Rick Scott (R),G,6.02
34,Allen West (R),H,5547,Roy Blunt (R),S,1090,Dan Benishek (R),H,675,Patty Murray (D),S,11.14,Jeff Perry (R),H,5.99
35,Rick Perry (R),G,5505,Charlie Crist (I),S,1082,Patty Murray (D),S,669,Jim Renacci (R),H,10.92,Patty Murray (D),S,5.44
36,Jeff Flake (R),H,5406,Scott McAdams (D),S,1036,Martin O'Malley (D),G,589,Kendrick Meek (D),S,10.81,Michael Bennet (D),S,5.20
37,Alex Sink (D),G,5347,Ron Johnson (R),S,1025,Nikki Haley (R),G,576,Van Tran (R),H,10.79,Bill Brady (R),G,5.17
38,Bill White (D),G,4981,Joe J. DioGuardi (R),S,963,Richard Blumenthal (D),S,572,Carl Paladino (R),G,10.65,Linda McMahon (R),S,5.09
39,Ted Strickland (D),G,4767,Duke Aiona (R),G,935,David Harmer (R),H,535,Chris Coons (D),S,10.44,Vincent Sheheen (D),G,4.92
40,Mark Kirk (R),S,4753,Michele Bachmann (R),H,909,Robin Carnahan (D),S,503,Alex Sink (D),G,10.43,Bill White (D),G,4.88
41,Ed Martin (R),H,4668,Ken Buck (R),S,855,Mary Fallin (R),G,495,Michele Bachmann (R),H,10.21,Scott Rigell (R),H,4.77
42,Tarryl Clark (D),H,4474,Jari Askins (D),G,832,Charlie Melancon (D),S,489,Ted Strickland (D),G,10.19,Suzanne M. Kosmas (D),H,4.65
43,Duke Aiona (R),G,4237,John Raese (R),S,824,Ron Johnson (R),S,475,Adam Kinzinger (R),H,10.02,John Boozman (R),S,4.48
